index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,1620,-228,16312,-2288,-89,144,-162,24667,58,222,247,965
1,1848,-140,16472,-2272,-572,-154,-246,24630,58,221,247,965
2,1740,-56,16232,-2256,-343,35,-228,24596,58,221,247,965
3,1724,0,16288,-2288,18,137,-186,24580,58,221,247,965
4,1732,-88,16268,-2256,-396,-26,-216,24566,58,221,247,965
5,10134,965,0,-2301,-396,-26,-216,24566,58,221,247,965
6,1672,-136,16300,-2288,-459,-1,-222,24573,58,221,247,965
7,1636,-156,16284,-2272,-237,31,-207,24572,58,221,247,965
8,1640,-124,16288,-2256,-330,18,-263,24551,58,221,247,965
9,1608,4,16328,-2272,-331,42,-203,24542,58,221,247,965
10,1716,68,16388,-2304,-438,42,-203,24542,58,221,247,965
11,16384,-8705,-4001,-9972,-30429,-15065,3,768,58,221,247,965
12,1720,-44,16384,-2272,-437,-19,-217,24534,58,221,247,965
13,1628,-68,16288,-2288,-390,30,-228,24523,58,221,247,965
14,1768,-48,16192,-2320,-424,-18,-224,24520,58,221,247,965
15,1716,0,16212,-2240,-504,8,-204,24514,58,221,247,965
16,1716,20,16272,-2272,-341,54,-238,24509,58,221,247,965
17,1748,64,16408,-2272,-373,10,-232,24514,58,221,247,965
18,1708,-112,16268,-2288,-388,27,-212,24501,58,221,247,965
19,1604,192,16336,-2256,-162,63,-190,24503,58,221,247,965
20,1696,232,16324,-2272,-217,-12,-216,24495,58,221,247,965
