index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,132,184,16404,-2672,-345,77,-197,13119,228,240,163,965
1,288,180,16408,-2688,-407,24,-184,13120,228,240,163,965
2,76,20,16412,-2672,-450,-47,-185,13117,228,240,163,965
3,192,160,16444,-2736,-443,-2,-205,13114,228,240,163,965
4,260,92,16368,-2704,-233,-4,-207,13115,228,240,163,965
5,224,156,16348,-2688,-149,149,-204,13099,228,240,163,965
6,236,160,16380,-2688,-550,-120,-203,13109,228,240,162,965
7,132,92,16428,-2720,-393,55,-220,13120,228,240,162,965
8,116,200,16472,-2736,-560,-107,-181,13147,228,240,163,965
9,132,188,16372,-2656,-481,-40,-226,13151,228,240,163,965
10,76,40,16272,-2736,-399,-36,-243,13153,228,240,162,965
11,132,180,16328,-2704,-136,122,-213,13153,228,240,162,965
12,124,152,16348,-2688,-376,42,-219,13151,228,240,162,965
13,84,256,16364,-2704,-330,16,-200,13148,228,240,162,965
14,60,228,16284,-2720,-393,-6,-185,13118,228,240,163,965
15,108,52,16252,-2704,-425,-21,-181,13100,228,240,162,965
16,116,192,16212,-2720,-402,-36,-201,13098,228,240,162,965
17,132,148,16360,-2736,-395,0,-195,13096,228,240,162,965
18,144,132,16316,-2704,-350,11,-199,13095,228,240,162,965
19,132,140,16236,-2752,-422,-40,-206,13090,228,240,162,965
20,180,56,16388,-2720,-365,-15,-192,13089,228,240,162,965
21,-15091,3,768,-2720,-365,-15,-192,13089,228,240,162,965
22,212,96,16316,-2720,-416,-60,-206,13089,228,240,162,965
23,160,88,16320,-2720,-442,-38,-203,13087,228,240,162,965
24,208,152,16368,-2752,-350,18,-200,13085,228,240,162,965
25,60,176,16308,-2720,-445,-1,-200,13083,228,240,162,965
26,44,232,16296,-2784,-402,30,-183,13087,228,240,162,965
27,44,244,16364,-2720,-455,-6,-203,13085,228,240,162,965
28,212,144,16488,-2704,-452,43,-192,13086,228,240,162,965
29,156,172,16392,-2752,-407,-14,-185,13085,228,240,162,965
30,180,196,16280,-2768,-365,43,-191,13084,228,240,162,965
