index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,476,-128,16296,-3008,-335,119,-191,13342,220,240,175,965
1,576,-324,16340,-3008,-420,-25,-190,13345,220,240,175,965
2,492,-372,16196,-2976,-409,-9,-197,13336,220,240,175,965
3,580,-272,16428,-2992,-340,97,-213,13342,220,240,175,965
4,420,-336,16396,-2976,-418,25,-211,13340,220,240,175,965
5,452,-356,16416,-2976,-387,21,-189,13342,220,240,175,965
6,500,-340,16328,-2960,-399,-48,-197,13343,220,240,175,965
7,440,-340,16456,-2976,-356,41,-192,13331,220,240,175,965
8,512,-296,16460,-2992,-401,12,-192,13336,220,240,175,965
9,508,-372,16308,-2960,-415,-64,-228,13334,220,240,175,965
10,608,-280,16324,-2976,-348,60,-206,13326,220,240,175,965
11,612,-340,16324,-2992,-351,73,-203,13326,220,240,175,965
12,636,-336,16272,-2960,-448,-19,-211,13324,220,240,175,965
13,524,-520,16508,-2960,-601,-215,-215,13325,220,240,175,965
14,564,-452,16396,-2944,-420,12,-195,13332,220,240,175,965
15,624,-400,16328,-2928,-448,-30,-224,13332,220,240,175,965
16,704,-436,16448,-2960,-402,0,-195,13341,220,240,176,965
17,560,-468,16500,-2960,-341,92,-194,13340,220,240,175,965
18,656,-508,16396,-2960,-379,23,-204,13345,220,240,176,965
19,624,-460,16388,-2992,-403,3,-226,13340,220,240,176,965
20,3694,965,0,-3069,-403,3,-226,13340,220,240,176,965
21,500,-488,16432,-2960,-358,27,-194,13356,220,240,176,965
22,676,-400,16420,-2976,-311,94,-209,13339,219,240,175,965
23,652,-460,16420,-2944,-431,-69,-207,13334,220,240,175,965
24,624,-428,16444,-2960,-343,23,-194,13333,220,240,175,965
25,528,-440,16464,-2960,-382,7,-206,13342,220,240,176,965
26,548,-468,16352,-2944,-379,28,-204,13346,220,240,176,965
27,540,-404,16344,-2960,-302,52,-208,13346,219,240,176,965
28,660,-444,16264,-2944,-454,-68,-211,13347,220,240,176,965
29,536,-372,16392,-2944,-340,47,-219,13356,220,240,176,965
30,540,-408,16400,-2960,-315,87,-187,13364,220,240,176,965
31,332,-364,16344,-2960,-292,113,-199,13363,219,240,176,965
