index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,580,172,16452,-3088,-255,77,-177,10484,141,237,213,965
1,27136,511,14633,-11510,27407,-15090,3,768,141,237,213,965
2,584,280,16212,-3104,-395,16,-218,10488,141,237,213,965
3,580,116,16440,-3104,-334,-32,-185,10485,141,237,213,965
4,684,124,16356,-3104,-447,-58,-197,10447,141,237,212,965
5,644,192,16340,-3120,-480,-74,-217,10443,141,237,212,965
6,612,172,16348,-3120,-490,-85,-192,10425,141,237,212,965
7,700,176,16396,-3104,-394,6,-196,10409,141,237,212,965
8,624,44,16452,-3104,-364,89,-203,10398,141,237,211,965
9,660,12,16452,-3104,-348,60,-184,10391,141,237,211,965
10,564,84,16468,-3104,-385,4,-173,10386,141,237,211,965
11,-15090,3,768,-3104,-385,4,-173,10386,141,237,211,965
12,632,108,16312,-3104,-265,137,-193,10369,141,237,210,965
13,480,184,16312,-3120,-465,3,-164,10368,141,237,210,965
14,616,116,16308,-3088,-334,38,-194,10353,141,237,210,965
15,688,64,16448,-3088,-282,155,-191,10349,141,237,211,965
16,576,248,16300,-3120,-279,138,-191,10335,141,237,210,965
17,592,84,16244,-3088,-337,78,-174,10290,140,237,210,965
18,720,96,16356,-3088,-323,46,-178,10247,140,237,211,965
19,600,188,16272,-3056,-396,8,-197,10235,140,237,211,965
20,648,200,16368,-3088,-441,-32,-220,10224,139,237,210,965
21,560,72,16360,-3088,-404,22,-170,10216,139,237,210,965
22,648,72,16176,-3120,-299,81,-199,10192,139,237,211,965
23,644,132,16308,-3088,-383,3,-194,10161,139,237,211,965
24,596,236,16336,-3088,-317,62,-176,10150,139,237,211,965
25,596,236,16336,-3088,-317,62,-176,10150,139,237,211,965
26,-18430,-4096,-8130,-27917,14078,14336,-32001,53543,95,253,227,50331651
27,540,152,16240,-3072,-477,-74,-202,10108,139,237,210,965
