index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,1296,-608,16432,-3168,4,391,-229,11318,138,239,203,965
1,1408,-624,16464,-3104,-403,-5,-212,12370,148,240,198,965
2,1576,-1092,16100,-3136,-575,-221,-251,12632,149,240,197,965
3,1400,-680,16300,-3088,-400,22,-226,12194,145,240,199,965
4,1396,-676,16324,-3104,-425,2,-248,12009,143,240,200,965
5,1324,-684,16336,-3136,-408,-31,-219,11851,142,240,200,965
6,1348,-552,16384,-3120,-394,2,-203,11845,142,240,200,965
7,1384,-644,16416,-3104,-400,-6,-218,11784,141,239,201,965
8,1516,-580,16220,-3120,-405,-4,-217,11767,141,239,201,965
9,1440,-512,16380,-3136,-395,-23,-209,11739,141,239,201,965
10,1380,-700,16312,-3120,-399,27,-222,11750,141,239,201,965
11,1500,-596,16332,-3120,-393,-4,-222,11739,141,239,201,965
12,1252,-612,16268,-3120,-386,6,-242,11743,141,239,201,965
13,1372,-588,16316,-3120,-405,14,-221,11711,141,239,201,965
14,1416,-640,16204,-3136,-389,-4,-209,11716,141,239,201,965
15,1408,-708,16336,-3120,-404,3,-194,11706,141,239,201,965
16,1384,-640,16364,-3136,-363,-5,-210,11705,140,239,201,965
17,1464,-664,16376,-3120,-398,11,-217,11682,140,239,201,965
18,-15089,3,768,-3120,-398,11,-217,11682,140,239,201,965
19,1436,-616,16324,-3120,-405,6,-213,11699,141,239,201,965
20,1464,-632,16400,-3136,-399,11,-224,11664,140,239,201,965
21,1404,-564,16376,-3120,-400,20,-216,11665,140,239,201,965
22,1412,-652,16232,-3152,-398,-20,-227,11687,141,239,201,965
23,1396,-640,16164,-3136,-402,21,-212,11685,141,239,201,965
24,1404,-724,16320,-3136,-379,25,-209,11699,141,239,201,965
25,1380,-644,16356,-3136,-401,1,-204,11671,141,239,201,965
