index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,228,-72,16296,-2800,-403,-22,-222,12443,218,240,169,965
1,428,-380,16380,-2768,-398,-21,-218,12550,218,240,170,965
2,560,-252,16280,-2800,-542,-155,-221,12460,218,240,169,965
3,456,-264,16316,-2800,-280,137,-221,12504,218,240,169,965
4,496,-220,16424,-2768,-383,-9,-223,12375,218,240,169,965
5,536,-240,16320,-2784,-378,32,-208,12335,217,240,168,965
6,420,-296,16280,-2832,-391,38,-220,12302,218,239,168,965
7,532,-280,16284,-2816,-382,-23,-206,12303,218,239,168,965
8,364,-252,16332,-2816,-370,23,-226,12259,218,239,168,965
9,420,-228,16308,-2784,-396,40,-217,12270,218,239,168,965
10,404,-340,16412,-2816,-407,13,-210,12260,218,239,168,965
11,424,-176,16324,-2832,-399,5,-207,12276,218,239,168,965
12,468,-268,16400,-2832,-409,21,-228,12294,218,239,168,965
13,436,-276,16312,-2832,-414,-10,-241,12326,219,239,168,965
14,480,-320,16348,-2816,-387,-10,-241,12326,219,239,168,965
15,11,-231,12355,4292,4646,3427,965,0,208,239,168,965
16,488,-272,16260,-2832,-414,-6,-195,12346,218,239,168,965
17,416,-248,16372,-2880,-384,-17,-201,12376,218,240,168,965
18,500,-344,16268,-2848,-400,3,-204,12313,218,239,168,965
19,416,-292,16476,-2848,-406,6,-238,12295,218,239,168,965
20,368,-312,16264,-2896,-387,-4,-217,12304,218,239,168,965
21,448,-252,16288,-2896,-392,12,-227,12314,219,239,168,965
22,3412,965,0,-3069,-392,12,-227,12314,219,239,168,965
23,444,-328,16360,-2896,-380,56,-213,12369,219,239,168,965
24,396,-364,16412,-2880,-385,-4,-201,12425,219,240,168,965
25,452,-320,16436,-2880,-382,47,-209,12402,219,240,168,965
26,532,-384,16264,-2896,-389,6,-211,12432,219,240,168,965
27,444,-320,16436,-2880,-385,21,-220,12423,219,240,168,965
28,424,-268,16384,-2896,-414,13,-211,12443,219,240,168,965
29,480,-200,16320,-2896,-411,24,-227,12460,219,240,168,965
